# Tau0 Delta logL logPrior
8.933831065636422153e+00 6.378286892030423649e-01 1.052398423791383237e+02 -2.708050201102210508e+00
1.052351519219326725e+01 1.439326055048320230e+00 1.052575413037844214e+02 -2.708050201102210508e+00
1.039742552846051105e+01 1.110435571451634296e+00 1.052684032596127679e+02 -2.708050201102210508e+00
1.031743458304210925e+01 1.000578423331749844e+00 1.052741162808133595e+02 -2.708050201102210508e+00
8.162722067390628666e+00 1.889885672776380199e+00 1.053016417506597548e+02 -2.708050201102210508e+00
8.130836656751061042e+00 1.728946601092218316e+00 1.053174529844317817e+02 -2.708050201102210508e+00
1.050896155436103641e+01 1.441668882406650143e+00 1.053305749929793365e+02 -2.708050201102210508e+00
8.198541305260402368e+00 1.370825345621653035e+00 1.053338557927478973e+02 -2.708050201102210508e+00
8.169230553255435012e+00 1.471547954441566164e+00 1.053669242655921181e+02 -2.708050201102210508e+00
1.031972180437527697e+01 1.020210344691602433e+00 1.053745962883918708e+02 -2.708050201102210508e+00
8.146093696248442484e+00 1.661060386384676457e+00 1.053848264964455410e+02 -2.708050201102210508e+00
1.033882173307950403e+01 1.973519896361716430e+00 1.053880530228405661e+02 -2.708050201102210508e+00
1.019973486445665323e+01 8.927463491144024266e-01 1.054124801842754380e+02 -2.708050201102210508e+00
8.583186950365583101e+00 8.831962639141852645e-01 1.054260606300444465e+02 -2.708050201102210508e+00
9.489366444962684000e+00 5.499042032463934415e-01 1.054660007196802809e+02 -2.708050201102210508e+00
8.436717969638246828e+00 1.035355334493643031e+00 1.054729912819717157e+02 -2.708050201102210508e+00
8.183241963429805921e+00 1.736496723324152391e+00 1.054954378393340590e+02 -2.708050201102210508e+00
1.046342479472561848e+01 1.630475428908012780e+00 1.055023149617495903e+02 -2.708050201102210508e+00
1.046750111393164495e+01 1.538698384260044350e+00 1.055330802143534044e+02 -2.708050201102210508e+00
1.045345137119051948e+01 1.635987054074103275e+00 1.055356866692900724e+02 -2.708050201102210508e+00
8.244456231931138745e+00 1.880011780886483796e+00 1.055422851563836701e+02 -2.708050201102210508e+00
8.206025137052369800e+00 1.479327497260701119e+00 1.055472225622106919e+02 -2.708050201102210508e+00
9.986259585125640825e+00 7.393029446022469919e-01 1.055568002508164369e+02 -2.708050201102210508e+00
9.863268720971742454e+00 6.711404317656262108e-01 1.055763212015167056e+02 -2.708050201102210508e+00
8.456239822183880150e+00 1.030273304830756409e+00 1.055826099119224324e+02 -2.708050201102210508e+00
8.217661292406869933e+00 1.519808798479550083e+00 1.056319668292697145e+02 -2.708050201102210508e+00
8.298987077207279128e+00 1.908009705506453102e+00 1.056441008627719498e+02 -2.708050201102210508e+00
8.243731768317232422e+00 1.423735374209893711e+00 1.056562394127895743e+02 -2.708050201102210508e+00
1.043749734163800369e+01 1.536952600654017953e+00 1.056583917239795767e+02 -2.708050201102210508e+00
8.355702239527817099e+00 1.975375129521776740e+00 1.056631940286042948e+02 -2.708050201102210508e+00
8.226527974809739518e+00 1.694501640648501839e+00 1.056650036812111182e+02 -2.708050201102210508e+00
8.312602046704217429e+00 1.257248624536045245e+00 1.056660994252186470e+02 -2.708050201102210508e+00
8.792345689028270073e+00 7.454336010383207922e-01 1.056670577067042700e+02 -2.708050201102210508e+00
1.036050622314631475e+01 1.153518097066722259e+00 1.056696462175086140e+02 -2.708050201102210508e+00
8.347034185187212074e+00 1.199301808359087840e+00 1.056777536387791656e+02 -2.708050201102210508e+00
1.029177262672633297e+01 1.881406608603297448e+00 1.056838316567747427e+02 -2.708050201102210508e+00
1.043352017104841600e+01 1.441089064423620725e+00 1.056864739489369924e+02 -2.708050201102210508e+00
1.039384263641114181e+01 1.677886459033377520e+00 1.057068964586714515e+02 -2.708050201102210508e+00
8.233614622505324832e+00 1.615320286058457011e+00 1.057172260578751803e+02 -2.708050201102210508e+00
8.589515779671172524e+00 9.104164820894122823e-01 1.057187398397796585e+02 -2.708050201102210508e+00
1.023493042094639627e+01 1.929737505195016078e+00 1.057236531166012696e+02 -2.708050201102210508e+00
8.478907829738767887e+00 1.028188058876679634e+00 1.057316344667309238e+02 -2.708050201102210508e+00
1.041863802664390448e+01 1.380773262161636650e+00 1.057328158072157152e+02 -2.708050201102210508e+00
1.005324169045040961e+01 8.014152220440980967e-01 1.057383467126745131e+02 -2.708050201102210508e+00
1.041228782366826877e+01 1.574133390889377315e+00 1.057383608292981165e+02 -2.708050201102210508e+00
8.412494580414966450e+00 1.992157960130463978e+00 1.057506696841907257e+02 -2.708050201102210508e+00
8.467792625942074380e+00 1.045821242474787027e+00 1.057568409715825339e+02 -2.708050201102210508e+00
9.595054764956339355e+00 5.829334911771880678e-01 1.057589736965451550e+02 -2.708050201102210508e+00
8.389427584424471007e+00 1.960692154250534003e+00 1.057631978247338225e+02 -2.708050201102210508e+00
1.024528098123084341e+01 9.931583789603805057e-01 1.057637902308517539e+02 -2.708050201102210508e+00
8.469272389159378633e+00 1.046571931880591944e+00 1.057713082352123308e+02 -2.708050201102210508e+00
1.030490730766397256e+01 1.810106271598685090e+00 1.057812402913354362e+02 -2.708050201102210508e+00
1.016174530215917038e+01 1.975063739356707648e+00 1.057825256931607072e+02 -2.708050201102210508e+00
8.279788017139344092e+00 1.752726843488359165e+00 1.057907747181522353e+02 -2.708050201102210508e+00
8.270488444592348998e+00 1.456793624089255834e+00 1.058149998872750359e+02 -2.708050201102210508e+00
9.613229117715071936e+00 5.907954864539778361e-01 1.058239999983029094e+02 -2.708050201102210508e+00
1.029316501913043602e+01 1.798436042973635240e+00 1.058342645857759123e+02 -2.708050201102210508e+00
8.266984593981545615e+00 1.585158167152331155e+00 1.058452964695921708e+02 -2.708050201102210508e+00
