# Tau0 Delta logL logPrior
1.267357621516986121e+01 5.120934612098182459e-01 -3.523295417593551804e+01 -2.708050201102210508e+00
5.910911105445589619e+00 5.717010061190632708e-01 -3.140532148746515162e+01 -2.708050201102210508e+00
1.277771744794272202e+01 5.433351531460527406e-01 -2.923718177883573688e+01 -2.708050201102210508e+00
5.615153728119585352e+00 6.354449222174486378e-01 -2.762156598276614616e+01 -2.708050201102210508e+00
1.411125730759982133e+01 7.944624020402932807e-01 -2.736275690734522215e+01 -2.708050201102210508e+00
1.380651202502128072e+01 7.408957921293501947e-01 -2.618570309466408474e+01 -2.708050201102210508e+00
1.441565301624141604e+01 8.616187709967512154e-01 -2.461425825956580837e+01 -2.708050201102210508e+00
1.422031499276979183e+01 8.278136115669667561e-01 -2.362409867075957948e+01 -2.708050201102210508e+00
1.385766799871043986e+01 7.620209219596802974e-01 -2.258589975349867629e+01 -2.708050201102210508e+00
5.760551370757275969e+00 6.337743973921706742e-01 -1.791031094558404035e+01 -2.708050201102210508e+00
1.458467705432726724e+01 9.205625089089608526e-01 -1.778080931413045462e+01 -2.708050201102210508e+00
5.796162781280644438e+00 6.319262261610518738e-01 -1.609485429614919028e+01 -2.708050201102210508e+00
1.339060083845977722e+01 6.976572259515056995e-01 -1.458426909134699301e+01 -2.708050201102210508e+00
1.235142683888333082e+01 5.049215954867034561e-01 -1.220732411693247954e+01 -2.708050201102210508e+00
5.357020728028002665e+00 7.312206963846632490e-01 -1.188824055958461834e+01 -2.708050201102210508e+00
1.240178477976017390e+01 5.164786297630505896e-01 -1.134611030817340094e+01 -2.708050201102210508e+00
1.337904184223124915e+01 7.071956090360285163e-01 -1.096126823608854295e+01 -2.708050201102210508e+00
5.908704455692475932e+00 6.257747310529965246e-01 -1.049582670620246283e+01 -2.708050201102210508e+00
1.408353261872523809e+01 8.518995787190597468e-01 -1.001190337292471000e+01 -2.708050201102210508e+00
6.447051364386047645e+00 5.214036934028238868e-01 -9.772547666151076839e+00 -2.708050201102210508e+00
6.410234850412593666e+00 5.310622818998055328e-01 -8.804240052276808726e+00 -2.708050201102210508e+00
1.389430019784824921e+01 8.202266137138226609e-01 -8.322083702615241663e+00 -2.708050201102210508e+00
1.386784730914803987e+01 8.158671051403078023e-01 -8.062051464254389899e+00 -2.708050201102210508e+00
1.381670087687719395e+01 8.079272489065538743e-01 -7.428729313137901080e+00 -2.708050201102210508e+00
1.456797318345725323e+01 9.628438471509134233e-01 -7.243637603801903246e+00 -2.708050201102210508e+00
1.355912097270515737e+01 7.565703715864926515e-01 -7.163914671688624836e+00 -2.708050201102210508e+00
1.415590768701338575e+01 8.851159096081255839e-01 -5.589109429314182975e+00 -2.708050201102210508e+00
1.343385600543854963e+01 7.411184767661139761e-01 -4.423102606208039411e+00 -2.708050201102210508e+00
5.126285121416184865e+00 8.140112091103645087e-01 -2.072837695490036047e+00 -2.708050201102210508e+00
1.487704396428473963e+01 1.065928703772418773e+00 3.043411606546739812e-01 -2.708050201102210508e+00
1.247516417466842142e+01 5.642739851995071110e-01 9.910889503135793532e-01 -2.708050201102210508e+00
6.300191071130720744e+00 5.819703809518754767e-01 1.563161520154600082e+00 -2.708050201102210508e+00
1.260408669851977770e+01 5.958755550005179202e-01 2.761070224015227836e+00 -2.708050201102210508e+00
1.473924041883317670e+01 1.058133996867610449e+00 4.282394347342104446e+00 -2.708050201102210508e+00
6.524376581533092967e+00 5.437982847124448460e-01 4.447881449794278907e+00 -2.708050201102210508e+00
6.344849222797505739e+00 5.816517185624318076e-01 4.512378292564938498e+00 -2.708050201102210508e+00
5.195602622383891145e+00 8.294043414980618589e-01 5.170049201574111741e+00 -2.708050201102210508e+00
1.399737024521033391e+01 9.012102025244427272e-01 5.270888571862672123e+00 -2.708050201102210508e+00
6.745458506023569889e+00 5.010102001981403541e-01 5.642906006575596933e+00 -2.708050201102210508e+00
6.037767238392595104e+00 6.510641059738123682e-01 5.824030818310703239e+00 -2.708050201102210508e+00
6.044388382567007945e+00 6.510332762408280738e-01 6.220472536936578756e+00 -2.708050201102210508e+00
1.354438945326975308e+01 8.092437315094972439e-01 6.681210089765153626e+00 -2.708050201102210508e+00
